time = 3	Re = 10
0.131812	0.152988	0
0.176888	0.128777	1
0.202149	0.100217	2
0.226281	0.075324	3
0.242623	0.048972	4
0.258925	0.023201	5
0.280747	-0.013671	6
0.318340	-0.012273	7
0.350983	0.032528	8
0.359994	0.071142	9
0.364697	0.112866	10
0.359458	0.163235	11
0.347543	0.214560	12
0.325615	0.268574	13
0.310875	0.297384	14
0.295937	0.325340	15
0.278744	0.353336	16
0.260217	0.383332	17
0.241403	0.414826	18
0.220704	0.449652	19
0.194921	0.493305	20
0.169364	0.541433	21
0.152381	0.574133	22
0.138578	0.607544	23
0.124304	0.636181	24
0.107719	0.664626	25
0.084945	0.687602	26
0.055007	0.710983	27
0.025143	0.725551	28
-0.018269	0.731304	29
-0.037048	0.726970	30
-0.087677	0.713087	31
-0.109855	0.700430	32
-0.147071	0.684895	33
-0.162382	0.674495	34
-0.199182	0.661647	35
-0.246862	0.640712	36
-0.297791	0.620622	37
-0.340584	0.602066	38
-0.387651	0.581664	39
-0.420528	0.563470	40
-0.462918	0.540474	41
-0.490008	0.521956	42
-0.530224	0.495726	43
-0.557931	0.472618	44
-0.585754	0.448094	45
-0.613234	0.421668	46
-0.640003	0.393878	47
-0.661209	0.368303	48
-0.682391	0.342149	49
-0.703036	0.313273	50
-0.723712	0.283359	51
-0.739797	0.255169	52
-0.755867	0.226471	53
-0.770794	0.195875	54
-0.785338	0.164662	55
-0.805854	0.110500	56
-0.815628	0.079683	57
-0.825341	0.048522	58
-0.838903	-0.009779	59
-0.843791	-0.040458	60
-0.848656	-0.071133	61
-0.854059	-0.127904	62
-0.856063	-0.186255	63
-0.854767	-0.242103	64
-0.850187	-0.300083	65
-0.842513	-0.353729	66
-0.832221	-0.408119	67
-0.818432	-0.460039	68
-0.807930	-0.489403	69
-0.797592	-0.518886	70
-0.784652	-0.559014	71
-0.772569	-0.596673	72
-0.768105	-0.642752	73
