time = 8.65	Re = 10
0.112972	0.175358	0
0.152272	0.136073	1
0.181877	0.105753	2
0.208051	0.063427	3
0.222381	0.007536	4
0.221836	-0.025941	5
0.222444	-0.056683	6
0.210515	-0.115179	7
0.192387	-0.153951	8
0.171057	-0.193473	9
0.157049	-0.232706	10
0.153200	-0.273231	11
0.157898	-0.321001	12
0.166349	-0.364920	13
0.193558	-0.399342	14
0.227940	-0.417385	15
0.258824	-0.405245	16
0.293887	-0.377681	17
0.317269	-0.343276	18
0.337297	-0.305144	19
0.349616	-0.263739	20
0.352492	-0.243675	21
0.358264	-0.220889	22
0.357499	-0.202513	23
0.357627	-0.180940	24
0.355037	-0.157487	25
0.352035	-0.132680	26
0.346497	-0.104068	27
0.339447	-0.069730	28
0.330272	-0.019155	29
0.321619	0.014612	30
0.309713	0.052541	31
0.287597	0.102906	32
0.271621	0.131466	33
0.253831	0.160117	34
0.233059	0.190500	35
0.208059	0.223679	36
0.181342	0.255327	37
0.158581	0.284641	38
0.134771	0.332327	39
0.121841	0.378253	40
0.113208	0.431185	41
0.109274	0.462910	42
0.100380	0.507965	43
0.098002	0.554876	44
0.102530	0.609009	45
0.077806	0.663037	46
0.056452	0.681262	47
0.039488	0.703306	48
0.005183	0.723344	49
-0.044296	0.714391	50
-0.009032	0.715761	51
0.027728	0.704917	52
-0.028395	0.705319	53
-0.013225	0.715975	54
-0.029982	0.707337	55
0.007165	0.696445	56
0.036381	0.694787	57
0.021738	0.715137	58
-0.020855	0.715192	59
-0.035839	0.708757	60
-0.032626	0.708538	61
-0.018397	0.710215	62
-0.020209	0.710931	63
-0.031215	0.712449	64
-0.032075	0.709128	65
0.022463	0.693035	66
0.046677	0.693663	67
0.050378	0.702333	68
0.044471	0.690577	69
0.037679	0.688477	70
0.012665	0.690411	71
-0.011475	0.690407	72
-0.067480	0.674208	73
-0.097110	0.659040	74
-0.130486	0.635410	75
-0.177970	0.609101	76
-0.168482	0.609137	77
-0.222489	0.585738	78
-0.266127	0.565343	79
-0.298839	0.549714	80
-0.330171	0.533611	81
-0.356359	0.518112	82
-0.382653	0.502551	83
-0.411543	0.482202	84
-0.439765	0.461226	85
-0.462374	0.440841	86
-0.485017	0.420210	87
-0.513836	0.389219	88
-0.540589	0.356982	89
-0.561778	0.326531	90
-0.582623	0.294118	91
-0.608379	0.243867	92
-0.628440	0.194873	93
-0.639493	0.158106	94
-0.649889	0.118659	95
-0.655026	0.087263	96
-0.660129	0.054248	97
-0.663437	-0.003678	98
-0.662237	-0.038081	99
-0.660059	-0.075766	100
-0.653753	-0.121861	101
-0.644222	-0.169820	102
-0.636750	-0.193272	103
-0.621916	-0.237791	104
-0.603522	-0.283463	105
-0.586071	-0.317300	106
-0.565700	-0.353513	107
-0.545764	-0.381567	108
-0.528043	-0.404535	109
-0.508696	-0.429795	110
-0.489567	-0.450811	111
-0.468817	-0.473621	112
-0.451926	-0.488258	113
-0.431046	-0.506521	114
-0.408412	-0.526615	115
-0.386827	-0.543051	116
-0.363377	-0.561539	117
-0.320432	-0.590370	118
-0.278230	-0.617077	119
-0.232290	-0.646619	120
-0.207656	-0.663883	121
-0.182866	-0.681241	122
-0.142985	-0.708043	123
-0.114757	-0.725414	124
-0.085481	-0.742328	125
-0.043293	-0.759158	126
0.003584	-0.768062	127
0.033928	-0.765186	128
0.062566	-0.761290	129
0.108271	-0.745950	130
0.148065	-0.728185	131
0.167951	-0.716261	132
0.192622	-0.707215	133
0.218104	-0.693513	134
0.244105	-0.681299	135
0.275350	-0.665788	136
0.306145	-0.651101	137
0.337516	-0.634448	138
0.367158	-0.618080	139
0.393200	-0.602543	140
0.419852	-0.586826	141
0.450732	-0.566472	142
0.481285	-0.544573	143
0.512974	-0.518493	144
0.542511	-0.491002	145
0.575037	-0.458284	146
0.583017	-0.445989	147
0.606347	-0.421922	148
0.632271	-0.386541	149
0.641037	-0.370980	150
0.661162	-0.343354	151
0.668223	-0.327902	152
0.688029	-0.296621	153
0.696819	-0.276169	154
0.713025	-0.244063	155
0.726702	-0.207500	156
0.740089	-0.167492	157
0.751843	-0.122911	158
0.761358	-0.076374	159
0.767417	-0.029897	160
0.771258	0.019862	161
0.771661	0.072520	162
0.768613	0.129243	163
0.763136	0.169485	164
0.755434	0.211745	165
0.744065	0.258302	166
0.729798	0.304640	167
0.713932	0.346370	168
0.695180	0.388380	169
0.674086	0.428345	170
0.647582	0.473834	171
0.629440	0.499719	172
0.605658	0.533549	173
0.581742	0.562968	174
0.552450	0.597212	175
0.524422	0.625249	176
0.492103	0.655493	177
0.457448	0.684149	178
0.416918	0.714806	179
0.386783	0.734424	180
0.347529	0.758955	181
0.311569	0.778525	182
0.266349	0.801671	183
0.229342	0.817612	184
0.180398	0.836818	185
0.132586	0.851637	186
0.103061	0.858528	187
0.073591	0.865423	188
0.027196	0.871649	189
-0.023446	0.874788	190
-0.076313	0.873027	191
-0.131573	0.867532	192
-0.177914	0.859289	193
-0.226072	0.849013	194
-0.270096	0.836851	195
-0.315769	0.822765	196
-0.350153	0.809945	197
-0.386163	0.796039	198
-0.422482	0.780122	199
-0.461533	0.761881	200
-0.496735	0.742818	201
-0.534050	0.721385	202
-0.568401	0.698599	203
-0.605298	0.672675	204
-0.633223	0.650108	205
-0.662319	0.625726	206
-0.689537	0.599884	207
-0.718213	0.571324	208
-0.741810	0.544464	209
-0.766247	0.515678	210
-0.788917	0.485538	211
-0.812199	0.452729	212
-0.829574	0.424800	213
-0.847493	0.395467	214
-0.864568	0.362953	215
-0.882587	0.327638	216
-0.898096	0.291025	217
-0.914393	0.248581	218
-0.929283	0.201634	219
-0.943241	0.149663	220
-0.949761	0.118147	221
-0.956339	0.085105	222
-0.961447	0.050974	223
-0.966260	0.016619	224
-0.971750	-0.037753	225
-0.975334	-0.089317	226
-0.982799	-0.133647	227
-0.991585	-0.164053	228
