time = 3.8	Re = 10
0.114832	0.175253	0
0.153125	0.136276	1
0.182738	0.107891	2
0.206092	0.070283	3
0.220139	0.023596	4
0.226857	-0.027040	5
0.225138	-0.078853	6
0.210360	-0.122415	7
0.193211	-0.159966	8
0.179390	-0.196104	9
0.171492	-0.232610	10
0.172448	-0.270840	11
0.176774	-0.308216	12
0.199781	-0.337457	13
0.226457	-0.359411	14
0.255510	-0.349718	15
0.287949	-0.328127	16
0.315448	-0.293665	17
0.340705	-0.251804	18
0.359432	-0.203205	19
0.364775	-0.179397	20
0.371958	-0.152122	21
0.372723	-0.127562	22
0.373400	-0.100614	23
0.370465	-0.071423	24
0.365362	-0.040184	25
0.356100	-0.007485	26
0.342220	0.031763	27
0.320919	0.082982	28
0.304273	0.113961	29
0.284547	0.146966	30
0.254610	0.188676	31
0.218613	0.232094	32
0.199829	0.255923	33
0.180483	0.280985	34
0.162352	0.309202	35
0.146411	0.336132	36
0.130472	0.381635	37
0.120453	0.424951	38
0.113565	0.473188	39
0.107014	0.504384	40
0.100645	0.534682	41
0.101008	0.574221	42
0.102914	0.605578	43
0.102300	0.638670	44
0.064736	0.672381	45
0.042593	0.712280	46
0.021528	0.714392	47
-0.019782	0.718828	48
-0.045907	0.705825	49
-0.019236	0.715682	50
0.018818	0.707910	51
-0.036377	0.705975	52
-0.013035	0.712545	53
-0.016830	0.713605	54
-0.035573	0.713316	55
-0.034076	0.711799	56
-0.021116	0.708227	57
-0.017926	0.712808	58
-0.022680	0.697325	59
-0.052330	0.686263	60
-0.080986	0.675385	61
-0.120419	0.647926	62
-0.122305	0.637964	63
-0.172242	0.609524	64
-0.209167	0.593793	65
-0.244744	0.578581	66
-0.287705	0.559283	67
-0.326930	0.539049	68
-0.355119	0.523205	69
-0.382422	0.507302	70
-0.407181	0.490139	71
-0.431968	0.472974	72
-0.468253	0.442777	73
-0.500662	0.411711	74
-0.522994	0.385966	75
-0.545203	0.358997	76
-0.578511	0.309759	77
-0.604108	0.262483	78
-0.617339	0.231749	79
-0.630541	0.199390	80
-0.644032	0.157331	81
-0.655758	0.112942	82
-0.659090	0.089816	83
-0.665254	0.044671	84
-0.669058	-0.002438	85
-0.668684	-0.040770	86
-0.666749	-0.081677	87
-0.661303	-0.118310	88
-0.655509	-0.148385	89
-0.649267	-0.179492	90
-0.640873	-0.208562	91
-0.632166	-0.238290	92
-0.622059	-0.262299	93
-0.610102	-0.289738	94
-0.597808	-0.317594	95
-0.583527	-0.343874	96
-0.569075	-0.370335	97
-0.536888	-0.417059	98
-0.502320	-0.459316	99
-0.463029	-0.500993	100
-0.421287	-0.539826	101
-0.389919	-0.564643	102
-0.354743	-0.590879	103
-0.315888	-0.617766	104
-0.270733	-0.648417	105
-0.245547	-0.663647	106
-0.216658	-0.682888	107
-0.174586	-0.709719	108
-0.146088	-0.727402	109
-0.116123	-0.744992	110
-0.077519	-0.762915	111
-0.034099	-0.776282	112
0.010438	-0.782029	113
0.052008	-0.778911	114
0.097997	-0.767794	115
0.136565	-0.755199	116
0.176149	-0.738828	117
0.212314	-0.722339	118
0.250690	-0.705136	119
0.265400	-0.695124	120
0.289346	-0.687101	121
0.324367	-0.669065	122
0.339962	-0.659110	123
0.363220	-0.649368	124
0.377588	-0.639106	125
0.402560	-0.628364	126
0.419801	-0.616551	127
0.444313	-0.603833	128
0.472085	-0.584441	129
0.500542	-0.564163	130
0.530964	-0.539914	131
0.561466	-0.513713	132
0.590198	-0.485295	133
0.618989	-0.454437	134
0.647931	-0.419507	135
0.676963	-0.380903	136
0.696103	-0.350588	137
0.715387	-0.317994	138
0.734381	-0.280656	139
0.751923	-0.241618	140
0.765736	-0.204676	141
0.778779	-0.165296	142
0.788866	-0.125382	143
0.798660	-0.080828	144
0.802601	-0.051271	145
0.807646	-0.015334	146
0.809812	0.018998	147
0.811718	0.058739	148
0.810595	0.095434	149
0.808307	0.135172	150
0.803452	0.175802	151
0.796736	0.220075	152
0.789365	0.251468	153
0.780251	0.289755	154
0.769372	0.324427	155
0.755950	0.363604	156
0.742542	0.394520	157
0.726113	0.430933	158
0.708500	0.464352	159
0.687710	0.500804	160
0.669891	0.527721	161
0.651192	0.555482	162
0.629582	0.584143	163
0.606111	0.614290	164
0.582819	0.640201	165
0.557764	0.667137	166
0.530956	0.692693	167
0.501758	0.719441	168
0.476112	0.739436	169
0.449229	0.759836	170
0.419472	0.779900	171
0.387302	0.800845	172
0.355359	0.818787	173
0.320722	0.837652	174
0.285169	0.854158	175
0.246343	0.871042	176
0.213259	0.883003	177
0.178262	0.894672	178
0.141222	0.904450	179
0.101411	0.913871	180
0.064040	0.919999	181
0.025357	0.925236	182
-0.014295	0.928151	183
-0.055113	0.929834	184
-0.088889	0.928856	185
-0.122227	0.927751	186
-0.158160	0.924478	187
-0.193543	0.920820	188
-0.229149	0.914412	189
-0.266325	0.907521	190
-0.306999	0.897837	191
-0.351956	0.885470	192
-0.379178	0.876418	193
-0.406369	0.867582	194
-0.434031	0.856898	195
-0.461868	0.846282	196
-0.506363	0.827469	197
-0.547585	0.809011	198
-0.585730	0.797087	199
-0.615575	0.790689	200
