Coord_center_el.x 	 Coord_center_el.y 	 vectorElement[i].U_x	Time: 5.1200	Mesh (Number of cells): 515
0.2411628667 	 0.4910321321 	 -0.0291451799 	 -0.0291450982 	 157
-0.2411628667 	 -0.4910321321 	 0.0291451801 	 0.0291450983 	 158
0.2032631438 	 0.4202266048 	 -0.0008563279 	 -0.0008562845 	 159
-0.2032631438 	 -0.4202266048 	 0.0008562630 	 0.0008562197 	 160
0.5113196629 	 0.7330091090 	 -0.6866356579 	 -0.6866356298 	 161
-0.5113196629 	 -0.7330091090 	 0.6866357194 	 0.6866356913 	 162
0.5145478945 	 -0.7342533511 	 0.6948372452 	 0.6948372203 	 163
-0.5145478945 	 0.7342533511 	 -0.6948373175 	 -0.6948372925 	 164
0.1898796391 	 0.1532431413 	 0.0093029902 	 0.0093029940 	 165
-0.1898796391 	 -0.1532431413 	 -0.0093034436 	 -0.0093034466 	 166
0.4635322570 	 -0.3990906484 	 0.1112958900 	 0.1112957756 	 167
-0.4635322570 	 0.3990906484 	 -0.1112958721 	 -0.1112957578 	 168
0.1627262228 	 -0.9004249884 	 0.9317971889 	 0.9317970921 	 169
-0.1627262228 	 0.9004249884 	 -0.9317972398 	 -0.9317971431 	 170
0.1627236521 	 0.9004209928 	 -0.9264562857 	 -0.9264562083 	 171
-0.1627236521 	 -0.9004209928 	 0.9264562783 	 0.9264562006 	 172
0.2328664405 	 0.2089956753 	 0.0356123867 	 0.0356124116 	 173
-0.2328664405 	 -0.2089956753 	 -0.0356126967 	 -0.0356127211 	 174
0.4400113087 	 0.6696574703 	 -0.4710053192 	 -0.4710052268 	 175
-0.4400113087 	 -0.6696574703 	 0.4710054583 	 0.4710053655 	 176
0.4398498634 	 -0.6725450247 	 0.4771959499 	 0.4771958517 	 177
-0.4398498634 	 0.6725450247 	 -0.4771961301 	 -0.4771960315 	 178
0.8217206472 	 -0.0076640873 	 0.0124163835 	 0.0124163917 	 179
-0.8217206472 	 0.0076640873 	 -0.0124163850 	 -0.0124163933 	 180
-0.0617218479 	 0.7409618185 	 -0.3576070576 	 -0.3576068817 	 181
0.0617218479 	 -0.7409618185 	 0.3576071002 	 0.3576069245 	 182
0.0617218479 	 0.7409618185 	 -0.3665851968 	 -0.3665850293 	 183
-0.0617218479 	 -0.7409618185 	 0.3665852208 	 0.3665850537 	 184
0.3783494850 	 0.8166794830 	 -0.7775921485 	 -0.7775920998 	 185
-0.3783494850 	 -0.8166794830 	 0.7775922348 	 0.7775921858 	 186
0.3785146937 	 -0.8167971727 	 0.7808793863 	 0.7808793313 	 187
-0.3785146937 	 0.8167971727 	 -0.7808794872 	 -0.7808794320 	 188
0.3953305754 	 0.3629776849 	 -0.0467367048 	 -0.0467365881 	 189
-0.3953305754 	 -0.3629776849 	 0.0467366077 	 0.0467364911 	 190
0.4783626232 	 0.8219178954 	 -0.8370417566 	 -0.8370417524 	 191
-0.4783626232 	 -0.8219178954 	 0.8370417709 	 0.8370417667 	 192
0.4783656764 	 -0.8219798639 	 0.8378795045 	 0.8378795014 	 193
-0.4783656764 	 0.8219798639 	 -0.8378795228 	 -0.8378795197 	 194
-0.3788122182 	 -0.4401649454 	 0.0878429151 	 0.0878428024 	 195
0.3788122182 	 0.4401649454 	 -0.0878429421 	 -0.0878428294 	 196
0.7851317300 	 -0.0823118828 	 0.0630275031 	 0.0630275086 	 197
-0.7851317300 	 0.0823118828 	 -0.0630275014 	 -0.0630275069 	 198
0.2538783430 	 -0.9208013059 	 0.9552960596 	 0.9552960532 	 199
-0.2538783430 	 0.9208013059 	 -0.9552960803 	 -0.9552960738 	 200
0.2538737282 	 0.9207998025 	 -0.9572557209 	 -0.9572557165 	 201
-0.2538737282 	 -0.9207998025 	 0.9572557204 	 0.9572557160 	 202
0.1981467868 	 0.2787345602 	 0.0170372235 	 0.0170372491 	 203
-0.1981467868 	 -0.2787345602 	 -0.0170374494 	 -0.0170374745 	 204
0.3342525865 	 0.8950448599 	 -0.9159736980 	 -0.9159736849 	 205
-0.3342525865 	 -0.8950448599 	 0.9159737079 	 0.9159736948 	 206
0.3342524596 	 -0.8950472848 	 0.9193198044 	 0.9193197912 	 207
-0.3342524596 	 0.8950472848 	 -0.9193198241 	 -0.9193198109 	 208
0.7248386341 	 -0.6127732327 	 0.6321511264 	 0.6321511299 	 209
-0.7248386341 	 0.6127732327 	 -0.6321511275 	 -0.6321511310 	 210
0.3836433329 	 -0.3680788832 	 0.0404077107 	 0.0404075971 	 211
-0.3836433329 	 0.3680788832 	 -0.0404076254 	 -0.0404075120 	 212
0.4784150278 	 -0.4809991133 	 0.2032363505 	 0.2032362474 	 213
-0.4784150278 	 0.4809991133 	 -0.2032364159 	 -0.2032363127 	 214
0.7264522760 	 0.6102911846 	 -0.6295457111 	 -0.6295457132 	 215
-0.7264522760 	 -0.6102911846 	 0.6295457107 	 0.6295457128 	 216
0.2461292739 	 0.3447669577 	 0.0137684690 	 0.0137685313 	 217
-0.2461292739 	 -0.3447669577 	 -0.0137686422 	 -0.0137687042 	 218
0.3201585078 	 0.4811622530 	 -0.0801672492 	 -0.0801671386 	 219
-0.3201585078 	 -0.4811622530 	 0.0801672522 	 0.0801671415 	 220
0.4761613586 	 0.5925919006 	 -0.3669414447 	 -0.3669413510 	 221
-0.4761613586 	 -0.5925919006 	 0.3669415408 	 0.3669414469 	 222
0.6293458844 	 0.6309820713 	 -0.5838148715 	 -0.5838148557 	 223
-0.6293458844 	 -0.6309820713 	 0.5838149052 	 0.5838148893 	 224
0.7715395525 	 0.0615922488 	 -0.0403356768 	 -0.0403356645 	 225
-0.7715395525 	 -0.0615922488 	 0.0403356729 	 0.0403356605 	 226
0.1625871722 	 -0.8121172847 	 0.6965434767 	 0.6965432613 	 227
-0.1625871722 	 0.8121172847 	 -0.6965435976 	 -0.6965433820 	 228
0.1625869570 	 0.8121131676 	 -0.6891760779 	 -0.6891758952 	 229
-0.1625869570 	 -0.8121131676 	 0.6891762378 	 0.6891760547 	 230
0.6301037262 	 -0.6335893910 	 0.5959361280 	 0.5959361181 	 231
-0.6301037262 	 0.6335893910 	 -0.5959361710 	 -0.5959361611 	 232
0.0805260864 	 -0.8066710939 	 0.6888742765 	 0.6888740389 	 233
-0.0805260864 	 0.8066710939 	 -0.6888740888 	 -0.6888738513 	 234
0.0805260864 	 0.8066710939 	 -0.6765982252 	 -0.6765980145 	 235
-0.0805260864 	 -0.8066710939 	 0.6765985611 	 0.6765983500 	 236
0.4789089422 	 -0.5987541446 	 0.3820648056 	 0.3820647166 	 237
-0.4789089422 	 0.5987541446 	 -0.3820649449 	 -0.3820648557 	 238
0.3276292299 	 0.3122476507 	 0.0043377684 	 0.0043378584 	 239
-0.3276292299 	 -0.3122476507 	 -0.0043379557 	 -0.0043380453 	 240
0.3135486914 	 -0.2513488049 	 -0.0236141967 	 -0.0236142660 	 241
-0.3135486914 	 0.2513488049 	 0.0236144253 	 0.0236144941 	 242
0.3829523724 	 -0.2862627109 	 0.0048444597 	 0.0048443654 	 243
-0.3829523724 	 0.2862627109 	 -0.0048442926 	 -0.0048441987 	 244
-0.9056807534 	 0.1491223406 	 -0.1485831541 	 -0.1485831603 	 245
0.9056807534 	 -0.1491223406 	 0.1485831534 	 0.1485831595 	 246
0.6242076280 	 0.4375495125 	 -0.2744775975 	 -0.2744775374 	 247
-0.6242076280 	 -0.4375495125 	 0.2744776106 	 0.2744775505 	 248
0.3557767182 	 0.2342436969 	 0.0169809203 	 0.0169810049 	 249
-0.3557767182 	 -0.2342436969 	 -0.0169811374 	 -0.0169812216 	 250
-0.6104769303 	 -0.7274852877 	 0.7442853912 	 0.7442853916 	 251
0.6104769303 	 0.7274852877 	 -0.7442853859 	 -0.7442853863 	 252
-0.6117467515 	 0.7273272438 	 -0.7456781380 	 -0.7456781402 	 253
0.6117467516 	 -0.7273272438 	 0.7456781310 	 0.7456781333 	 254
0.7036397004 	 0.4485225133 	 -0.3532655250 	 -0.3532654968 	 255
-0.7036397004 	 -0.4485225133 	 0.3532655436 	 0.3532655153 	 256
0.8825095350 	 0.3653687976 	 -0.3763831276 	 -0.3763831293 	 257
-0.8825095350 	 -0.3653687976 	 0.3763831261 	 0.3763831279 	 258
0.8795835371 	 -0.3712127962 	 0.3777557275 	 0.3777557305 	 259
-0.8795835371 	 0.3712127962 	 -0.3777557267 	 -0.3777557297 	 260
0.9486858694 	 0.0746626164 	 -0.0757909701 	 -0.0757909698 	 261
-0.9486858694 	 -0.0746626165 	 0.0757909695 	 0.0757909692 	 262
-0.8258715847 	 0.1465105767 	 -0.1205229977 	 -0.1205229980 	 263
0.8258715847 	 -0.1465105767 	 0.1205229973 	 0.1205229976 	 264
0.5191588417 	 -0.2627556540 	 0.0619093817 	 0.0619092890 	 265
-0.5191588417 	 0.2627556540 	 -0.0619093062 	 -0.0619092137 	 266
0.0910301557 	 -0.9505481523 	 1.0003868424 	 1.0003868180 	 267
-0.0910301557 	 0.9505481523 	 -1.0003867690 	 -1.0003867447 	 268
