Time	U_x	U_y	P	Max.Res.
0	0	0	0	0
0.001	0.000513773025	0.003930847139	0.2503851372	1
0.002	0.001012327434	0.01083553727	0.4265289712	3.494840332
0.003	0.001300823161	0.0136315183	0.6590063764	36.21092924
0.004	0.001086879501	0.01340587535	0.9266544386	4.039884291
0.005	0.0005650139842	0.01103072349	1.209593605	4.309994055
0.006	-0.000103580822	0.007412197521	1.496442749	4.436716865
0.007	-0.0007971587065	0.003228564288	1.781578371	10.9739874
0.008	-0.001443902326	-0.001065599756	2.062668746	5.896568664
0.009	-0.002011409832	-0.005195225336	2.339079919	6.593720573
0.01	-0.002494320579	-0.009012086814	2.610920829	6.276226285
0.011	-0.0029029028	-0.01245174053	2.8785797	4.51183006
0.012	-0.003254347532	-0.0155020735	3.142503035	3.795136699
0.013	-0.003567325825	-0.01818137924	3.403118021	2.29076236
0.014	-0.003858525587	-0.02052387496	3.660811323	3.916960654
0.015	-0.004140879918	-0.02257059139	3.915933772	3.272595652
0.016	-0.004423088798	-0.02436373325	4.168809796	2.770202459
0.017	-0.004709901002	-0.02594341806	4.419745742	15.60197256
0.018	-0.00500282	-0.02734592701	4.669034385	5.277907045
0.019	-0.0053009859	-0.02860291387	4.916955933	7.857820252
0.02	-0.005602067981	-0.02974120593	5.163776565	4.424811326
0.021	-0.005903062955	-0.03078295831	5.409745643	4.235165772
0.022	-0.006200948537	-0.03174600814	5.65509253	5.381914481
0.023	-0.006493168754	-0.03264433434	5.900023724	22.51126487
0.024	-0.0067779548	-0.03348856044	6.144720687	15.10357684
0.025	-0.007054499176	-0.03428645909	6.389338613	4.026161837
0.026	-0.007323006014	-0.03504343566	6.634006195	2.607296013
0.027	-0.007584644406	-0.03576297625	6.878826286	1.752732713
0.028	-0.007841431333	-0.03644705206	7.123877358	1.829955803
0.029	-0.008096068657	-0.03709647661	7.369215561	2.721786229
0.03	-0.008351755479	-0.03771121509	7.614877219	1.298879461
0.031	-0.008611993416	-0.03829064703	7.860881577	4.628506607
0.032	-0.008880397365	-0.0388337863	8.107233668	4.082640908
0.033	-0.009160517565	-0.0393394688	8.3539272	5.439372986
0.034	-0.00945569683	-0.03980648362	8.600947055	2.435886017
0.035	-0.00976895598	-0.04023367558	8.848271798	4.038920433
0.036	-0.01010290242	-0.04062002599	9.095875902	2.068619071
0.037	-0.01045966759	-0.04096470774	9.343731639	2.136995322
0.038	-0.01084087112	-0.04126711995	9.591810637	0.8406990903
0.039	-0.01124760905	-0.04152690598	9.840085116	0.6206167353
0.04	-0.01168046279	-0.04174395668	10.08852881	0.4683411381
0.041	-0.01213952549	-0.04191840378	10.33711761	0.5975131006
0.042	-0.0126244417	-0.04205060633	10.58582993	1.268941536
0.043	-0.01313445674	-0.04214113154	10.83464695	0.4123789152
0.044	-0.01366847236	-0.04219073184	11.08355255	0.5951743349
0.045	-0.01422510592	-0.04220031961	11.33253324	1.030997554
0.046	-0.01480275034	-0.04217094089	11.58157793	1.000871024
0.047	-0.01539963254	-0.04210374926	11.8306776	1.463019281
0.048	-0.01601386882	-0.04199998046	12.07982499	1.668040401
0.049	-0.01664351564	-0.04186092847	12.32901424	0.6450872429
0.05	-0.01728661507	-0.04168792337	12.57824058	0.6538849663
0.051	-0.01794123433	-0.04148231117	12.82749998	0.4457592646
0.052	-0.01860549915	-0.04124543581	13.07678888	0.344946996
0.053	-0.01927762101	-0.04097862335	13.32610399	0.2845322124
0.054	-0.01995591836	-0.04068316833	13.57544208	0.2433406626
0.055	-0.02063883236	-0.04036032224	13.82479986	0.2441180548
0.056	-0.02132491814	-0.04001130006	14.07417803	0.3260279136
0.057	-0.02201284691	-0.03963729328	14.32357395	0.4685593143
0.058	-0.02270144199	-0.03923940793	14.57298309	0.6664274768
0.059	-0.02338967686	-0.03881866782	14.82240063	0.1591013011
0.06	-0.02407666561	-0.0383760189	15.07182172	0.4074486205
0.061	-0.02476165462	-0.0379123318	15.32124161	0.3617503637
0.062	-0.02544401354	-0.03742840389	15.57065567	0.2821942848
0.063	-0.02612322547	-0.03692496152	15.82005951	0.2271671028
0.064	-0.02679887704	-0.03640266268	16.069449	0.1893910012
0.065	-0.02747064809	-0.03586210036	16.31882036	0.169468326
0.066	-0.02813830125	-0.03530380677	16.56817019	0.1986435548
0.067	-0.02880167145	-0.03472825823	16.81749552	0.2320676954
0.068	-0.02946065569	-0.0341358807	17.06679385	0.2569685308
0.069	-0.03011520335	-0.03352705567	17.31606318	0.2238624116
0.07	-0.03076530708	-0.03290212623	17.56530203	0.1504505295
0.071	-0.03141099455	-0.03226140316	17.81450946	0.1795306723
0.072	-0.03205232112	-0.03160517088	18.06368507	0.2211494699
0.073	-0.03268936343	-0.03093369311	18.31282897	0.2856611777
0.074	-0.03332182123	-0.03024683527	18.56194165	0.398144573
0.075	-0.03394948018	-0.02954451468	18.81102343	0.631383914
0.076	-0.03457253418	-0.02882705217	19.06007593	1.048710858
0.077	-0.03519231618	-0.02809410063	19.30910478	0.2208783394
0.078	-0.03581043726	-0.02734522081	19.55811441	0.4842889541
0.079	-0.0364268119	-0.02658091317	19.80710767	0.3504829143
0.08	-0.03704148303	-0.02580157455	20.05608711	0.2645180974
0.081	-0.03765454827	-0.02500755707	20.30505531	0.2109331352
0.082	-0.0382661313	-0.02419919291	20.55401492	0.2233991889
0.083	-0.03887636946	-0.02337680476	20.80296864	0.2741492184
0.084	-0.03948540772	-0.02254071147	21.05191915	0.3524368699
0.085	-0.04009339581	-0.02169123113	21.30086909	0.476220533
0.086	-0.04070048706	-0.02082868285	21.54982101	0.5871262683
0.087	-0.04130683788	-0.0199533875	21.79877733	0.7798179942
0.088	-0.04191261852	-0.01906565284	22.04773953	3.787236584
0.089	-0.04251799467	-0.01816579871	22.29670963	0.6750005999
0.09	-0.04312313363	-0.01725414769	22.54568958	0.567418872
0.091	-0.043728205	-0.01633102415	22.79468101	0.3668977406
0.092	-0.04433338096	-0.01539675333	23.04368533	0.2713265778
0.093	-0.04493883611	-0.01445166052	23.29270361	0.2151538784
0.094	-0.0455447471	-0.01349607031	23.54173662	0.1779402984
0.095	-0.04615129205	-0.01253030611	23.79078485	0.1555885959
0.096	-0.04675864977	-0.01155468973	24.03984847	0.1830591494
0.097	-0.0473669989	-0.01056954116	24.28892736	0.2211434906
0.098	-0.04797651689	-0.009575178498	24.53802114	0.2771761975
0.099	-0.04858738061	-0.00857191597	24.78712911	0.3656181497
0.1	-0.04919978199	-0.007560043717	25.03625032	0.5092420704
0.101	-0.04981389511	-0.006539870706	25.28538365	0.6042514275
0.102	-0.0504298844	-0.005511709891	25.53452775	0.167569827
0.103	-0.05104790611	-0.004475874549	25.78368104	0.367964521
0.104	-0.05166810789	-0.003432677643	26.03284176	0.3159230306
0.105	-0.0522906278	-0.002382432199	26.28200802	0.2468069041
0.106	-0.05291559322	-0.00132545181	26.53117776	0.2650833971
0.107	-0.05354311991	-0.0002620511464	26.78034885	0.2355987694
0.108	-0.0541733111	0.0008074535987	27.02951907	0.1349591091
0.109	-0.05480625666	0.001882744337	27.27868615	0.1150005024
0.11	-0.0554420325	0.002963500831	27.52784778	0.1422996958
0.111	-0.05608069988	0.004049400539	27.77700164	0.1570352263
0.112	-0.05672230502	0.005140118589	28.02614543	0.142868938
0.113	-0.05736687869	0.006235327884	28.27527685	0.1220575808
0.114	-0.05801443605	0.007334699341	28.52439368	0.1044623013
0.115	-0.05866497655	0.008437902331	28.77349373	0.09289959722
0.116	-0.05931848417	0.009544605393	29.02257491	0.07566116255
0.117	-0.05997492726	0.01065447652	29.2716352	0.05386079017
0.118	-0.06063425873	0.01176718378	29.52067269	0.04767444894
0.119	-0.06129641648	0.01288239627	29.7696856	0.04123353291
0.12	-0.06196132406	0.01399978505	30.01867223	0.05442536462
0.121	-0.06262889134	0.01511902427	30.26763106	0.07342818652
0.122	-0.0632990154	0.01623979222	30.51656064	0.09663840348
0.123	-0.06397158139	0.01736177245	30.76545973	0.1264900392
0.124	-0.06464646361	0.01848465486	31.01432719	0.1674877613
0.125	-0.06532352651	0.01960813687	31.26316204	0.2290184614
0.126	-0.06600262593	0.02073192448	31.51196345	0.3343624786
0.127	-0.06668361024	0.02185573337	31.76073074	0.5600850034
0.128	-0.06736632163	0.02297928997	32.00946338	1.311880881
0.129	-0.06805059745	0.02410233247	32.258161	0.1232541339
0.13	-0.06873627162	0.02522461165	32.50682335	0.6207307505
0.131	-0.06942318055	0.02634589735	32.75545032	0.411712027
0.132	-0.07011115877	0.02746597382	33.0040412	0.3027710176
0.133	-0.07079999813	0.02858466167	33.25259461	0.2397888459
0.134	-0.07148950315	0.02970178274	33.50111112	0.1988216769
0.135	-0.07217949735	0.03081716718	33.74959166	0.2163856333
0.136	-0.07286981764	0.03193065867	33.99803721	0.2668398854
0.137	-0.07356031141	0.03304211541	34.24644876	0.3273062975
0.138	-0.07425083538	0.03415141055	34.49482735	0.3454918237
0.139	-0.07494125536	0.03525843248	34.74317405	0.1806187042
0.14	-0.07563144647	0.03636308496	34.99148999	0.2237856649
0.141	-0.07632129357	0.03746528712	35.23977636	0.2854846159
0.142	-0.07701069182	0.03856497338	35.48803443	0.3687846001
0.143	-0.07769954715	0.03966209309	35.73626554	0.4090010548
0.144	-0.07838777673	0.04075661016	35.9844711	0.2478613682
0.145	-0.07907530933	0.0418485025	36.23265259	0.2576830413
0.146	-0.0797620856	0.04293776134	36.48081159	0.3018745262
0.147	-0.0804480582	0.04402439052	36.72894971	0.282425651
0.148	-0.08113319187	0.0451084057	36.97706866	0.3652589389
0.149	-0.08181746339	0.04618983347	37.22517021	0.578092007
0.15	-0.08250086141	0.04726871051	37.47325616	1.37750329
0.151	-0.08318338617	0.04834508262	37.7213284	1.559208232
0.152	-0.0838650492	0.04941900379	37.96938887	0.7793894494
0.153	-0.0845458728	0.05049053527	38.21743954	0.439510566
0.154	-0.08522588961	0.05155974463	38.46548243	0.3059502658
0.155	-0.08590514192	0.05262670477	38.71351963	0.2347422134
0.156	-0.08658368101	0.05369149305	38.96155323	0.1904762288
0.157	-0.08726156641	0.05475419029	39.20958538	0.2314242741
0.158	-0.08793886476	0.0558148791	39.45761826	0.3032453833
0.159	-0.088615642	0.05687363827	39.70565414	0.434159779
0.16	-0.08929197496	0.05793055286	39.95369523	0.7290195603
0.161	-0.08996794707	0.05898570865	40.20174375	1.170396096
0.162	-0.09064364639	0.06003919098	40.44980197	0.7668416525
0.163	-0.09131916438	0.06109108396	40.69787214	0.5163006595
0.164	-0.09199459479	0.06214146991	40.94595655	0.4273508664
0.165	-0.09267003269	0.0631904287	41.1940575	0.3096972464
0.166	-0.09334557358	0.06423803721	41.44217729	0.2394402083
0.167	-0.09402131252	0.06528436886	41.69031824	0.1944628181
0.168	-0.09469734332	0.06632949314	41.93848263	0.1634497618
0.169	-0.09537375775	0.06737347523	42.18667277	0.1408178433
0.17	-0.09605064484	0.06841637569	42.43489095	0.1425668531
0.171	-0.09672809019	0.0694582501	42.68313943	0.1654855183
0.172	-0.09740617536	0.07049914887	42.93142048	0.1951684742
0.173	-0.09808497729	0.071539117	43.17973632	0.2331018796
0.174	-0.09876456784	0.07257819391	43.42808916	0.2758688698
0.175	-0.09944501329	0.0736164133	43.67648117	0.2931392964
0.176	-0.100126374	0.07465380305	43.92491449	0.1818855776
0.177	-0.1008087042	0.07569038519	44.17339123	0.2103698115
0.178	-0.1014920515	0.07672617581	44.42191343	0.2625532561
0.179	-0.102176457	0.07776118509	44.67048312	0.3438343348
0.18	-0.1028619552	0.0787954176	44.91910225	0.4760120486
0.181	-0.1035485737	0.07982887195	45.16777272	0.609832657
0.182	-0.1042363366	0.08086154458	45.41649634	0.2472135598
0.183	-0.1049252609	0.08189342601	45.66527489	0.3582987049
0.184	-0.1056153564	0.08292450028	45.91411009	0.4337516357
0.185	-0.1063066252	0.0839547445	46.16300361	0.7164298698
0.186	-0.1069990626	0.08498412966	46.41195701	2.103000449
0.187	-0.1076926578	0.08601262113	46.66097179	1.080209273
0.188	-0.1083873936	0.08704017903	46.91004934	2.527371177
0.189	-0.1090832476	0.0880667586	47.15919095	0.7567213119
0.19	-0.1097801923	0.08909231055	47.40839785	0.4769396598
0.191	-0.1104781953	0.09011678129	47.65767114	0.7863160541
0.192	-0.1111772197	0.09114011321	47.90701182	0.9238659254
0.193	-0.1118772251	0.09216224495	48.15642082	0.4492688917
0.194	-0.1125781671	0.09318311164	48.40589893	0.431655222
0.195	-0.1132799985	0.09420264517	48.65544685	0.4255519205
