Coord_center_el.x 	 Coord_center_el.y 	 vectorElement[i].U_y	Time: 12.6300	Mesh (Number of cells): 1991
0.8659382334 	 0.2408016167 	 0.7729274245 	 0.7729272132 	 163
-0.8659382407 	 -0.2408016197 	 -0.7729274967 	 -0.7729272854 	 164
0.2136702807 	 0.2914257624 	 -0.1091208674 	 -0.1091206444 	 165
-0.2136702807 	 -0.2914257624 	 0.1091207913 	 0.1091205682 	 166
0.6814601445 	 -0.6251673646 	 0.6322320722 	 0.6322320525 	 167
-0.6814601445 	 0.6251673646 	 -0.6322322009 	 -0.6322321811 	 168
-0.4921208921 	 -0.7755096423 	 -0.4403040706 	 -0.4403039674 	 169
0.4921208921 	 0.7755096423 	 0.4403040119 	 0.4403039088 	 170
0.6886549014 	 -0.5884305211 	 0.6272581528 	 0.6272581236 	 171
-0.6886549014 	 0.5884305211 	 -0.6272583080 	 -0.6272582787 	 172
0.0383249872 	 0.8473227029 	 0.0774596570 	 0.0774596258 	 173
-0.0383249872 	 -0.8473227029 	 -0.0774597308 	 -0.0774596996 	 174
-0.5562988043 	 -0.7045188845 	 -0.4979386603 	 -0.4979385233 	 175
0.5562988043 	 0.7045188845 	 0.4979386029 	 0.4979384660 	 176
-0.3395572313 	 -0.6662468487 	 -0.1886312456 	 -0.1886311354 	 177
0.3395572313 	 0.6662468487 	 0.1886309979 	 0.1886308879 	 178
0.3169356975 	 -0.0467445023 	 -0.1218412578 	 -0.1218411295 	 179
-0.3169356975 	 0.0467445023 	 0.1218415943 	 0.1218414657 	 180
-0.3733974044 	 -0.6547296014 	 -0.2109635727 	 -0.2109634388 	 181
0.3733974044 	 0.6547296014 	 0.2109633403 	 0.2109632065 	 182
-0.5424137190 	 -0.7407389986 	 -0.4938527475 	 -0.4938526367 	 183
0.5424137190 	 0.7407389986 	 0.4938526985 	 0.4938525878 	 184
0.2194680675 	 0.9550437319 	 0.2233994147 	 0.2233994146 	 185
-0.2194680675 	 -0.9550437319 	 -0.2233994151 	 -0.2233994150 	 186
0.0017618504 	 -0.9606816590 	 0.0032407248 	 0.0032407292 	 187
-0.0017618504 	 0.9606816590 	 -0.0032407147 	 -0.0032407191 	 188
-0.5001749368 	 -0.7366981600 	 -0.4422148157 	 -0.4422146854 	 189
0.5001749368 	 0.7366981600 	 0.4422147449 	 0.4422146147 	 190
