time = 1	Re = 90
0.200514	0.010758	0
0.220476	-0.004715	1
0.229267	-0.019705	2
0.238087	-0.033550	3
0.240539	-0.049058	4
0.242116	-0.064372	5
0.248429	-0.085238	6
0.267673	-0.101692	7
0.288207	-0.113685	8
0.309003	-0.121094	9
0.330853	-0.124665	10
0.353310	-0.123717	11
0.376602	-0.118771	12
0.399703	-0.109552	13
0.423132	-0.095594	14
0.446138	-0.080187	15
0.457494	-0.070299	16
0.468855	-0.060345	17
0.479240	-0.048497	18
0.489624	-0.036649	19
0.499861	-0.023073	20
0.510123	-0.009055	21
0.519307	0.005265	22
0.527811	0.019670	23
0.537101	0.034977	24
0.545980	0.050998	25
0.553730	0.067379	26
0.561197	0.084024	27
0.568171	0.102248	28
0.574448	0.121243	29
0.580319	0.137816	30
0.585783	0.155002	31
0.590722	0.172613	32
0.595486	0.190022	33
0.599162	0.209301	34
0.602485	0.228850	35
0.605588	0.246535	36
0.608543	0.264383	37
0.610802	0.282610	38
0.612720	0.300793	39
0.613533	0.320380	40
0.613970	0.339951	41
0.614607	0.357920	42
0.615171	0.375817	43
0.614718	0.394760	44
0.613899	0.413806	45
0.612982	0.432046	46
0.611997	0.450310	47
0.610927	0.467849	48
0.609667	0.485494	49
0.607231	0.504264	50
0.604689	0.523038	51
0.602259	0.540835	52
0.599656	0.558672	53
0.596987	0.575773	54
0.594408	0.592785	55
0.590377	0.610726	56
0.586323	0.628353	57
0.582946	0.645564	58
0.579676	0.662641	59
0.574645	0.681046	60
0.569948	0.698870	61
0.565065	0.715665	62
0.560211	0.732266	63
0.554368	0.748696	64
0.546894	0.765865	65
0.532778	0.787223	66
0.519233	0.807896	67
0.513828	0.835485	68
