time = 10.8	Re = 90
0.212142	0.020392	0
0.223619	-0.003983	1
0.217883	-0.011373	2
0.207938	0.000923	3
0.206596	-0.013369	4
0.211356	-0.037120	5
0.213757	-0.050227	6
0.214424	-0.060444	7
0.213732	-0.070812	8
0.212049	-0.080312	9
0.206344	-0.099250	10
0.201758	-0.114387	11
0.198536	-0.124940	12
0.196839	-0.131319	13
0.194568	-0.138015	14
0.187610	-0.151693	15
0.177855	-0.169786	16
0.167432	-0.185158	17
0.157533	-0.200984	18
0.145254	-0.217069	19
0.134896	-0.230447	20
0.126920	-0.241973	21
0.120993	-0.261809	22
0.115745	-0.282605	23
0.112394	-0.298002	24
0.109827	-0.316950	25
0.109552	-0.336988	26
0.108418	-0.365367	27
0.108402	-0.390634	28
0.108873	-0.409908	29
0.109474	-0.429977	30
0.111290	-0.457533	31
0.112281	-0.484596	32
0.113436	-0.510186	33
0.115306	-0.535688	34
0.116546	-0.562547	35
0.118931	-0.584269	36
0.121603	-0.602953	37
0.124616	-0.618791	38
0.134153	-0.634583	39
0.153539	-0.642276	40
0.178670	-0.641879	41
0.202050	-0.635807	42
0.220262	-0.630095	43
0.244595	-0.622333	44
0.270814	-0.610562	45
0.284409	-0.603956	46
0.298003	-0.597351	47
0.320177	-0.585308	48
0.345140	-0.571183	49
0.360541	-0.561729	50
0.375868	-0.551886	51
0.391807	-0.541097	52
0.408375	-0.529487	53
0.420774	-0.519085	54
0.433141	-0.508617	55
0.445975	-0.497026	56
0.458702	-0.485373	57
0.470253	-0.473846	58
0.481683	-0.462245	59
0.491823	-0.451052	60
0.502392	-0.439670	61
0.520620	-0.417416	62
0.538403	-0.394066	63
0.548331	-0.379510	64
0.558283	-0.364632	65
0.567567	-0.349716	66
0.576930	-0.334381	67
0.589911	-0.309604	68
0.602625	-0.283341	69
0.611832	-0.262239	70
0.620619	-0.240738	71
0.627170	-0.221179	72
0.633342	-0.200888	73
0.638571	-0.181344	74
0.643633	-0.160972	75
0.648779	-0.133944	76
0.652514	-0.109106	77
0.655738	-0.081136	78
0.658137	-0.052410	79
0.658609	-0.035388	80
0.658807	-0.018606	81
0.658564	-0.003585	82
0.658290	0.011784	83
0.656314	0.035564	84
0.653609	0.060881	85
0.650776	0.077770	86
0.647818	0.093211	87
0.644672	0.108355	88
0.640975	0.125504	89
0.637138	0.137949	90
0.632897	0.152112	91
0.628658	0.163701	92
0.623900	0.177555	93
0.617475	0.189664	94
0.610935	0.202788	95
0.604793	0.213979	96
0.595650	0.229363	97
0.592482	0.229896	98
0.588422	0.233219	99
0.582788	0.237533	100
0.578393	0.239402	101
0.577874	0.232680	102
0.576068	0.229711	103
0.572342	0.229680	104
0.571038	0.223116	105
0.569895	0.217755	106
0.564372	0.225624	107
0.567016	0.208006	108
0.566731	0.197945	109
0.563934	0.194748	110
0.560605	0.194241	111
0.556342	0.197526	112
0.554956	0.187898	113
0.553065	0.184709	114
0.553537	0.173579	115
0.548467	0.183911	116
0.543689	0.193289	117
0.536692	0.202319	118
0.529146	0.217620	119
0.519771	0.236671	120
0.508170	0.257732	121
0.498223	0.272055	122
0.490975	0.277786	123
0.481758	0.289483	124
0.471470	0.301512	125
0.462420	0.310671	126
0.452630	0.319891	127
0.444081	0.326089	128
0.435338	0.332157	129
0.421025	0.338824	130
0.415635	0.338050	131
0.410132	0.337139	132
0.401968	0.333514	133
0.398270	0.329055	134
0.394416	0.324925	135
0.391165	0.313163	136
0.390403	0.301702	137
0.391194	0.291659	138
0.392769	0.280579	139
0.396021	0.267137	140
0.400172	0.253411	141
0.405011	0.240458	142
0.410136	0.225861	143
0.415772	0.211861	144
0.420813	0.197307	145
0.425741	0.185160	146
0.431174	0.170514	147
0.435702	0.158260	148
0.439286	0.145155	149
0.445726	0.121229	150
0.451487	0.095504	151
0.455830	0.072099	152
0.458616	0.046415	153
0.460366	0.022389	154
0.459852	-0.001640	155
0.459145	-0.022361	156
0.456899	-0.038252	157
0.454297	-0.053581	158
0.448371	-0.081325	159
0.443952	-0.095746	160
0.439514	-0.110279	161
0.432282	-0.131718	162
0.422382	-0.153822	163
0.411688	-0.174457	164
0.396929	-0.200067	165
0.386344	-0.218998	166
0.376752	-0.232855	167
0.361910	-0.249561	168
0.346197	-0.263929	169
0.333131	-0.274017	170
0.318856	-0.282447	171
0.307955	-0.286260	172
0.292569	-0.283583	173
0.282933	-0.279000	174
0.274805	-0.268367	175
0.269210	-0.252013	176
0.266926	-0.236438	177
0.265177	-0.220040	178
0.265090	-0.201746	179
0.266707	-0.182092	180
0.268473	-0.168995	181
0.270522	-0.154749	182
0.271483	-0.138984	183
0.273460	-0.123106	184
0.275172	-0.106071	185
0.276785	-0.088835	186
0.277637	-0.070487	187
0.278628	-0.051073	188
0.278328	-0.034039	189
0.276778	-0.015164	190
0.273416	0.006188	191
0.269635	0.027455	192
0.264702	0.049153	193
0.255862	0.074532	194
0.249375	0.089360	195
0.242907	0.103363	196
0.234848	0.117275	197
0.226565	0.131510	198
0.215130	0.149882	199
0.201047	0.168240	200
0.186590	0.186201	201
0.169130	0.205381	202
0.153455	0.222775	203
0.135078	0.245851	204
0.127177	0.261644	205
0.117994	0.282496	206
0.115088	0.299247	207
0.114422	0.308666	208
0.113491	0.321412	209
0.111781	0.334750	210
0.109927	0.351840	211
0.109531	0.362821	212
0.109027	0.377806	213
0.109109	0.389275	214
0.108644	0.404531	215
0.108755	0.428487	216
0.108978	0.451008	217
0.108924	0.470834	218
0.105594	0.496120	219
0.104065	0.511436	220
0.102571	0.526429	221
0.094010	0.548069	222
0.089183	0.565725	223
0.087136	0.581379	224
0.084969	0.602410	225
0.073007	0.618403	226
0.066722	0.621973	227
0.061564	0.624177	228
0.058439	0.625498	229
0.056416	0.626377	230
0.053884	0.627452	231
0.056301	0.626409	232
0.061560	0.636626	233
0.071826	0.650048	234
0.059544	0.675652	235
0.050363	0.698963	236
0.038579	0.711447	237
0.024826	0.723850	238
0.011790	0.723784	239
-0.014147	0.726667	240
-0.022016	0.725232	241
-0.049650	0.723219	242
-0.048009	0.720458	243
-0.051857	0.718019	244
-0.045120	0.714874	245
-0.073289	0.711667	246
-0.091713	0.708460	247
-0.112454	0.703821	248
-0.133300	0.697730	249
-0.153274	0.691877	250
-0.140782	0.693306	251
-0.162212	0.686493	252
-0.184178	0.678693	253
-0.198688	0.673378	254
-0.212609	0.668324	255
-0.205081	0.669179	256
-0.223634	0.662007	257
-0.242397	0.654929	258
-0.257866	0.648480	259
-0.271681	0.642396	260
-0.257138	0.648000	261
-0.240586	0.653977	262
-0.257960	0.646519	263
-0.273444	0.639600	264
-0.288408	0.632528	265
-0.303553	0.625251	266
-0.326154	0.613228	267
-0.350831	0.599636	268
-0.324486	0.612807	269
-0.325899	0.611351	270
-0.303464	0.622248	271
-0.279468	0.633428	272
-0.260525	0.641527	273
-0.240359	0.650028	274
-0.221935	0.656788	275
-0.203242	0.663069	276
-0.187244	0.668008	277
-0.170920	0.673083	278
-0.143109	0.680418	279
-0.119507	0.685146	280
-0.100898	0.688204	281
-0.083637	0.688174	282
-0.061509	0.686115	283
-0.045198	0.687532	284
-0.017520	0.692094	285
-0.004541	0.697405	286
0.012947	0.691449	287
0.027253	0.689472	288
0.035759	0.691200	289
0.020284	0.696248	290
0.041265	0.690298	291
0.035251	0.686913	292
0.018830	0.689134	293
0.003643	0.692916	294
-0.011096	0.692511	295
-0.025310	0.688571	296
-0.041159	0.686591	297
-0.056181	0.684806	298
-0.081232	0.685727	299
-0.107789	0.685373	300
-0.127382	0.682798	301
-0.153445	0.677789	302
-0.168725	0.673132	303
-0.183949	0.668795	304
-0.201489	0.663205	305
-0.218585	0.657819	306
-0.237541	0.650802	307
-0.255111	0.643650	308
-0.273188	0.635664	309
-0.291475	0.627457	310
-0.311126	0.617737	311
-0.329162	0.608295	312
-0.348377	0.597407	313
-0.367314	0.586236	314
-0.383195	0.575696	315
-0.399439	0.564689	316
-0.418483	0.550794	317
-0.436555	0.536825	318
-0.455287	0.521610	319
-0.471358	0.507380	320
-0.486621	0.493078	321
-0.501974	0.478043	322
-0.480300	0.497683	323
-0.494036	0.484134	324
-0.507606	0.470315	325
-0.519523	0.457234	326
-0.530913	0.444276	327
-0.547293	0.424473	328
-0.561738	0.405766	329
-0.542780	0.428328	330
-0.553717	0.414066	331
-0.564875	0.399261	332
-0.575944	0.383490	333
