Time	U_x	U_y	P	Max.Res.
0	0	0	0	0
0.001	1.274027985e-06	3.695240974e-06	0.2500002927	1
0.002	2.404291331e-06	-2.065106303e-05	0.5000600376	16.93673425
0.003	5.867937957e-05	0.0001629602687	0.7485463228	12.33567794
0.004	0.000167007571	0.0003887819988	0.9963928933	44.71552393
0.005	0.0002944524159	0.0006384556273	1.243532218	17.39441717
0.006	0.0004207414548	0.0008660680539	1.490801635	21.65212927
0.007	0.0005384179398	0.001040031967	1.738536618	11.63045499
0.008	0.0006494168241	0.001140190039	1.986956266	10.18048339
0.009	0.0007585914524	0.001163519303	2.236075752	10.19895421
0.01	0.0008699165509	0.00111823509	2.485829635	14.56619305
0.011	0.0009847232962	0.001019744512	2.736099734	10.19494292
0.012	0.001101602995	0.0008859576925	2.986756324	13.77418721
0.013	0.00121711187	0.0007345304129	3.23767213	8.715194021
0.014	0.001326721132	0.0005809293039	3.488734321	10.10272738
0.015	0.001425682545	0.0004375132921	3.739849018	12.470184
0.016	0.001509683125	0.0003132485932	3.990943068	5.734209529
0.017	0.00157526165	0.000213858289	4.241963394	16.40714643
0.018	0.001620017445	0.0001422041251	4.492875163	12.8287038
0.019	0.001642660971	9.877583194e-05	4.743659183	8.859150724
0.02	0.001642956989	8.220048647e-05	4.994309033	8.358262779
0.021	0.001621604409	8.972313661e-05	5.244828092	17.25649723
0.022	0.001580084694	0.0001176324162	5.495226702	27.22430939
0.023	0.001520499568	0.0001616229654	5.745519602	36.42063763
0.024	0.00144541184	0.0002170936614	5.995723692	14.11004173
0.025	0.001357696435	0.0002793872046	6.245856174	15.79373988
0.026	0.001260404774	0.0003439785828	6.4959331	10.94695017
0.027	0.001156643627	0.0004066199323	6.745968289	6.492737249
0.028	0.001049469788	0.0004634461153	6.995972659	6.865535228
0.029	0.0009417979629	0.0005110520006	7.245953844	4.530130383
0.03	0.0008363220397	0.0005465445356	7.49591612	7.594552028
0.031	0.0007354505235	0.000567574149	7.745860568	7.752470264
0.032	0.0006412540101	0.0005723477448	7.99578542	5.141009703
0.033	0.0005554265939	0.0005596270352	8.24568654	5.940367644
0.034	0.0004792599545	0.0005287141627	8.495557989	7.499324118
0.035	0.0004136303998	0.0004794252111	8.745392626	5.778003665
0.036	0.0003589981585	0.0004120545548	8.995182704	7.930912686
0.037	0.0003154176992	0.0003273325247	9.244920433	11.31311454
0.038	0.0002825581661	0.0002263773292	9.494598481	12.67094083
0.039	0.0002597303151	0.0001106366813	9.744210449	2.451603682
0.04	0.0002459103126	-1.815289595e-05	9.993751673	2.613727397
0.041	0.000239811938	-0.000157965598	10.24321782	8.216562016
0.042	0.0002399116562	-0.0003066511023	10.49260646	7.430724885
0.043	0.0002445042616	-0.0004619438343	10.74191709	4.620373648
0.044	0.0002517515626	-0.0006215120359	10.99115093	36.64069529
0.045	0.0002597298533	-0.0007830025682	11.24031084	5.468414887
0.046	0.0002664753931	-0.0009440833337	11.48940118	4.174168694
0.047	0.0002700267096	-0.001102480075	11.73842764	3.966539379
0.048	0.0002684636069	-0.001256008278	11.98739702	8.334789024
0.049	0.0002599429206	-0.001402602956	12.23631705	2.377000019
0.05	0.0002427299196	-0.001540322191	12.48519617	2.321330325
0.051	0.0002152823432	-0.001667194455	12.73404332	4.350331231
0.052	0.00017619632	-0.001781557772	12.98286746	5.900150592
0.053	0.000124211303	-0.001881976373	13.23167766	8.696587419
0.054	5.82263909e-05	-0.00196721077	13.48048296	26.10835606
0.055	-2.268984469e-05	-0.002036209633	13.72929224	6.392815611
0.056	-0.0001192952829	-0.002088104668	13.97811397	6.941532363
0.057	-0.0002321747102	-0.002122205054	14.22695614	2.253584758
0.058	-0.000361743888	-0.002137990422	14.47582611	4.693392455
0.059	-0.0005082565676	-0.002135102315	14.72473057	13.83502546
0.06	-0.0006718137234	-0.002113334344	14.97367549	7.288152626
0.061	-0.0008523746244	-0.002072621279	15.22266608	5.140744285
0.062	-0.00104976923	-0.002013027376	15.47170679	1.536922
0.063	-0.001263707155	-0.001934725103	15.72080127	3.118966061
0.064	-0.001493794114	-0.001837993101	15.96995248	2.674372111
0.065	-0.00173955128	-0.001723210405	16.21916268	6.135413769
0.066	-0.00200042537	-0.001590835914	16.46843347	5.585146135
0.067	-0.002275802123	-0.001441396823	16.71776583	2.678035656
0.068	-0.002565019169	-0.001275477313	16.96716012	2.019744077
0.069	-0.002867378327	-0.001093707577	17.21661622	1.64136458
0.07	-0.003182157157	-0.0008967533077	17.4661335	3.643328779
0.071	-0.003508619459	-0.0006853061001	17.71571091	4.511310221
0.072	-0.00384602475	-0.0004600745953	17.96534704	4.416342515
0.073	-0.004193636747	-0.0002217762718	18.21504012	1.088310661
0.074	-0.004550730864	2.88700935e-05	18.46478814	4.045963857
0.075	-0.004916600019	0.0002911517892	18.71458871	1.111598823
0.076	-0.005290512205	0.0005643586364	18.96443931	3.022003575
0.077	-0.005671809785	0.0008478051456	19.21433736	1.390670275
0.078	-0.006059871941	0.001140827735	19.46428017	2.889994989
0.079	-0.006454111677	0.001442788101	19.71426497	9.033879601
0.08	-0.006853978115	0.001753076878	19.96428895	2.645947447
0.081	-0.007258958794	0.002071116616	20.21434926	0.8652647727
0.082	-0.007668579201	0.002396364331	20.46444308	5.053682153
0.083	-0.008082405551	0.002728313146	20.71456762	9.268233838
0.084	-0.008500047464	0.003066500348	20.96472015	1.753461124
0.085	-0.008921152954	0.00341049675	21.21489797	1.946640641
0.086	-0.00934541677	0.003759907634	21.46509853	1.460626782
0.087	-0.009772568298	0.004114377714	21.71531938	1.333168417
0.088	-0.01020236672	0.00447358763	21.96555823	0.7655500068
0.089	-0.01063460334	0.004837255814	22.21581286	0.6289511027
0.09	-0.01106909795	0.005205137383	22.46608108	1.653032776
0.091	-0.01150570379	0.005577025066	22.71636104	1.101949798
0.092	-0.01194430281	0.005952745342	22.96665103	8.184599794
0.093	-0.01238480343	0.006332157021	23.21694949	1.35196693
0.094	-0.01282713825	0.006715149498	23.46725499	1.522135983
0.095	-0.01327126165	0.007101640601	23.71756625	0.7420787207
0.096	-0.01371714776	0.007491574807	23.96788212	0.6303362828
0.097	-0.0141647882	0.007884920776	24.21820157	0.8291970035
0.098	-0.01461418985	0.008281668843	24.46852371	2.430282268
0.099	-0.01506537367	0.008681830301	24.71884777	1.343619563
0.1	-0.015518373	0.009085434974	24.96917307	1.502897908
0.101	-0.01597322951	0.009492524224	25.21949906	1.475366204
0.102	-0.01642999253	0.009903152352	25.46982527	8.456995462
0.103	-0.01688871682	0.01031738347	25.72015129	3.003732294
0.104	-0.01734946208	0.01073529236	25.97047681	2.806384984
0.105	-0.01781229168	0.01115696121	26.22080156	2.622631287
0.106	-0.01827727065	0.01158247619	26.47112536	8.383601895
0.107	-0.01874446386	0.01201192481	26.72144807	0.8977585138
0.108	-0.01921393461	0.01244539384	26.97176959	6.234870227
0.109	-0.01968574343	0.01288296755	27.22208984	2.320055954
0.11	-0.02015994786	0.01332472731	27.47240874	5.813387859
0.111	-0.02063660028	0.01377074823	27.72272622	3.693524228
0.112	-0.02111574858	0.01422110023	27.97304221	1.2525747
0.113	-0.02159743584	0.01467584657	28.22335664	1.393094192
0.114	-0.02208170006	0.01513504268	28.47366945	0.7379026184
0.115	-0.02256857403	0.0155987355	28.72398059	1.10436136
0.116	-0.023058085	0.01606696258	28.97428997	2.095572584
0.117	-0.0235502546	0.01653975188	29.2245975	2.310081015
0.118	-0.02404509886	0.01701712164	29.47490309	4.569638225
0.119	-0.02454262774	0.01749908049	29.7252066	1.257439426
0.12	-0.02504284548	0.01798562753	29.9755079	1.950041375
0.121	-0.02554575155	0.01847675193	30.22580682	0.6137557209
0.122	-0.02605134023	0.0189724334	30.47610319	1.0742243
0.123	-0.0265596006	0.01947264237	30.72639681	0.7273046022
0.124	-0.02707051667	0.01997734026	30.97668749	0.7150259527
0.125	-0.02758406749	0.02048647982	31.22697499	0.9255638515
0.126	-0.02810022662	0.02100000549	31.4772591	4.863070536
0.127	-0.02861896307	0.02151785375	31.72753956	0.8081987708
0.128	-0.02914024219	0.02203995344	31.97781612	1.297480497
0.129	-0.02966402523	0.02256622649	32.22808853	0.4135271145
0.13	-0.03019026955	0.02309658836	32.47835651	0.6143898698
0.131	-0.03071892889	0.02363094857	32.72861981	1.272271842
0.132	-0.03124995357	0.02416921123	32.97887814	0.341144204
0.133	-0.03178329078	0.0247112755	33.22913125	0.5599010938
0.134	-0.03231888484	0.0252570362	33.47937885	0.6109222597
0.135	-0.03285667744	0.02580638422	33.72962068	1.291519522
0.136	-0.03339660789	0.02635920709	33.97985648	4.006089594
0.137	-0.03393861337	0.02691538947	34.23008598	3.994114073
0.138	-0.03448262918	0.02747481358	34.48030892	2.503748646
0.139	-0.035028589	0.0280373597	34.73052506	0.673778083
0.14	-0.03557642508	0.02860290671	34.98073415	1.561887044
0.141	-0.03612606847	0.02917133261	35.23093597	0.8519904353
0.142	-0.03667744933	0.02974251485	35.48113029	4.689899853
0.143	-0.03723049713	0.03031633084	35.73131689	2.342859286
0.144	-0.03778514088	0.03089265832	35.98149558	0.5888158114
0.145	-0.03834130937	0.03147137574	36.23166615	0.9522187508
0.146	-0.03889893138	0.0320523627	36.48182843	1.113592176
0.147	-0.03945793587	0.03263550025	36.73198225	7.054588889
0.148	-0.04001825224	0.03322067131	36.98212743	1.055475815
0.149	-0.0405798105	0.03380776098	37.23226384	2.316163182
0.15	-0.04114254157	0.03439665691	37.48239134	0.7196530426
0.151	-0.04170637747	0.03498724957	37.7325098	1.682481244
0.152	-0.04227125155	0.03557943259	37.98261912	2.149215168
0.153	-0.04283709887	0.03617310333	38.23271919	0.7130576584
